2024-07-23 15:27:09,373 INFO    StreamThr :22838 [internal.py:wandb_internal():85] W&B internal server running at pid: 22838, started at: 2024-07-23 15:27:09.372428
2024-07-23 15:27:09,376 DEBUG   HandlerThread:22838 [handler.py:handle_request():158] handle_request: status
2024-07-23 15:27:09,384 INFO    WriterThread:22838 [datastore.py:open_for_write():87] open: ./wandb/offline-run-20240723_152709-uqb0ywet/run-uqb0ywet.wandb
2024-07-23 15:27:09,435 DEBUG   HandlerThread:22838 [handler.py:handle_request():158] handle_request: run_start
2024-07-23 15:27:09,454 DEBUG   HandlerThread:22838 [system_info.py:__init__():26] System info init
2024-07-23 15:27:09,454 DEBUG   HandlerThread:22838 [system_info.py:__init__():41] System info init done
2024-07-23 15:27:09,454 INFO    HandlerThread:22838 [system_monitor.py:start():194] Starting system monitor
2024-07-23 15:27:09,455 INFO    SystemMonitor:22838 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-07-23 15:27:09,455 INFO    HandlerThread:22838 [system_monitor.py:probe():214] Collecting system info
2024-07-23 15:27:09,457 INFO    SystemMonitor:22838 [interfaces.py:start():188] Started cpu monitoring
2024-07-23 15:27:09,458 INFO    SystemMonitor:22838 [interfaces.py:start():188] Started disk monitoring
2024-07-23 15:27:09,460 INFO    SystemMonitor:22838 [interfaces.py:start():188] Started gpu monitoring
2024-07-23 15:27:09,461 INFO    SystemMonitor:22838 [interfaces.py:start():188] Started memory monitoring
2024-07-23 15:27:09,462 INFO    SystemMonitor:22838 [interfaces.py:start():188] Started network monitoring
2024-07-23 15:27:09,479 DEBUG   HandlerThread:22838 [system_info.py:probe():152] Probing system
2024-07-23 15:27:09,488 DEBUG   HandlerThread:22838 [gitlib.py:_init_repo():56] git repository is invalid
2024-07-23 15:27:09,488 DEBUG   HandlerThread:22838 [system_info.py:probe():200] Probing system done
